source_id,unfinished_work,acceptance_boundary,capability,split_assessment,overlap_assessment,historical_evidence,active_dependencies,reference_notes
RD45,RD89 reconciliation explicitly records RD45 as still pending with no patch; its GEMV epilogue-fusion qualification remains.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD46.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD46,RD89 reconciliation explicitly records RD46 as still pending with no patch; its GEMV epilogue-fusion qualification remains.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD45.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD47,RD89 reconciliation explicitly records RD47 as still pending with no patch; its GEMV epilogue-fusion qualification remains.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD48,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD49,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD50,Frozen RD50 records compile safety and fallback evidence but explicitly leaves the gfx1151/RDNA3.5 performance claim blocked and unvalidated.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI82,RD90.","Frozen dependencies: RD51,RD52,RD53,RD90.",Rewrite forward references (4); preserve historical references (2) on predecessor.
RD51,RD89 reconciliation records RD51 as newly unblocked by completed RD50 but still pending with no patch.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD50.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD52,RD89 reconciliation records RD52 as newly unblocked by completed RD50 but still pending with no patch.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD50.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD53,RD89 reconciliation records RD53 as newly unblocked by completed RD50 but still pending with no patch.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD50,RD51,RD52.",Frozen dependencies: RD50,RD51,RD52.,Rewrite forward references (4); preserve historical references (0) on predecessor.
RD55,RD89 reconciliation explicitly calls RD55 genuinely open with no patch and a real next candidate.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD56,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD57,"Frozen RD57 retains a strategic third-backend lane scoping question; an unresolved scope decision is continuing planning work, not a terminal item.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD59,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD60,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Frozen notes/reviews/evidence remain on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD61,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD62,NRO06 folded into RD62; implementation and qualification remain under this owner.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: NRO06.,Frozen dependencies: none recorded.,Rewrite forward references (5); preserve historical references (1) on predecessor.
RD63,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD64,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD65,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD67,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD71,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD69.,Frozen dependencies: RD69,RD72.,Rewrite forward references (2); preserve historical references (1) on predecessor.
RD72,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD69.,Frozen dependencies: RD69,RD71.,Rewrite forward references (2); preserve historical references (1) on predecessor.
RD76,Matching upstream candidate identified; port and validation remain pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD69,RD73.","Frozen dependencies: RD69.",Rewrite forward references (3); preserve historical references (2) on predecessor.
RD77,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD78,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD79,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD80,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD69.",Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (1) on predecessor.
RD81,RD89 reconciliation explicitly retains RD81 as pending research/strategic work with no patch.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD82,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD83,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD84,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD83.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD85,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD86,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RD85.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD88,RD89 reconciliation explicitly retains RD88 as pending research/strategic work with no patch.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
RD89,"Explicit reference/reconciliation content, not a work item, with no acceptance criteria.",Closed/deprecated boundary; retain predecessor history; no successor.,patching,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC13,EC15,HI162,NRO06,RD08,RD29,RD54,RD69+5.","Frozen dependencies: RD30,RD31,RD32,RD69,RD76.",Rewrite forward references (32); preserve historical references (13) on predecessor.
RD91,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RD92,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RD93,The frozen item retains executable implementation/qualification work and has no terminal completion or deprecation disposition in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RD21,RD22.",Rewrite forward references (3); preserve historical references (0) on predecessor.
RD98,RD89 reconciliation explicitly identifies RD98 as a real open Q4_K MMVQ candidate with qualification still ahead.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD08,RD97.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (2) on predecessor.
RE30,"Stock Vulkan/scaffolding exists; record, tune, and replay phases have not started.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC15,RD08,RD69,RE38,RE41.",Frozen dependencies: RE32.,Rewrite forward references (9); preserve historical references (5) on predecessor.
RE31,The frozen reusable-build-campaign item remains active with implementation/acceptance work outstanding and no terminal disposition.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RE30.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RE32,Capability ABI design and implementation remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RE33,Real Vulkan device and ICD identity replacement remains planned.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC01,EC05,EC15.","Frozen dependencies: RE30,RE31,RE32.",Rewrite forward references (4); preserve historical references (3) on predecessor.
RE34,The frozen reusable-build-campaign item remains active with implementation/acceptance work outstanding and no terminal disposition.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",build,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RE23.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (1) on predecessor.
RE35,Work-root/upstream non-overlap guard remains unimplemented.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",build,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RE23.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (1) on predecessor.
RE36,Forced Vulkan execution and telemetry remain blocked on RE30/RE32 foundations.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RE37,The frozen reusable-build-campaign item remains active with implementation/acceptance work outstanding and no terminal disposition.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RD87.,Frozen dependencies: RD87,RD88.,Rewrite forward references (2); preserve historical references (1) on predecessor.
RE39,The frozen reusable-build-campaign item remains active with implementation/acceptance work outstanding and no terminal disposition.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RE38,RE41,RE47.",Frozen dependencies: VA26.,Rewrite forward references (4); preserve historical references (3) on predecessor.
RE40,Foundations landed but residual adoption and validation scope remains.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: CO01,HI73,RE47.",Frozen dependencies: RE42.,Rewrite forward references (3); preserve historical references (3) on predecessor.
RE42,Foundations landed but residual adoption and validation scope remains.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RE47.,"Frozen dependencies: RE39,RE40,RE47.",Rewrite forward references (5); preserve historical references (1) on predecessor.
RO02,Stack propagation work is pending; acceptance remains unchecked.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: RO01.,Frozen dependencies: RO01.,Rewrite forward references (1); preserve historical references (1) on predecessor.
RO03,Canonical backend identity/probing implementation is pending; acceptance is unchecked.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO02.,Rewrite forward references (4); preserve historical references (0) on predecessor.
RO04,BuildPlan/cache stack-identity implementation is pending; acceptance is unchecked.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",build,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO03.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RO05,Actual-loaded runtime attestation implementation is pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO04.,Rewrite forward references (5); preserve historical references (0) on predecessor.
RO06,Manifest/DB/run-identity migration and E2E lineage work are pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO05.,Rewrite forward references (4); preserve historical references (0) on predecessor.
RO07,Provider discovery/completeness implementation is pending; closure is deferred to RO18.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO06.,Rewrite forward references (6); preserve historical references (0) on predecessor.
RO08,Semantic BLAS-domain inventory and candidate-mode implementation are pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO07.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RO09,hipBLASLt vendor_auto route and correctness/force acceptance are pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO10.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RO10,"Explicit hipBLASLt algorithm selection still has unchecked acceptance for shared execution primitive, provider identity, and replay-safe fingerprinting.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO08.,Rewrite forward references (2); preserve historical references (0) on predecessor.
RO11,The provider-integration stage remains active and has no completed acceptance/retirement evidence in current lineage.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO09.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RO12,Exhaustive raw-HIP kernel audit/disposition artifact is pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO11.,Rewrite forward references (3); preserve historical references (0) on predecessor.
RO13,CK dense GEMM provider integration and qualification are pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO12.,Rewrite forward references (4); preserve historical references (0) on predecessor.
RO14,CK split-K/preshuffle/pipeline implementation and correctness matrix are pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RO13,RO15.",Rewrite forward references (3); preserve historical references (0) on predecessor.
RO15,"Grouped-GEMM/MoE schema decision, implementation, and qualification are pending.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC16,EC19.","Frozen dependencies: EC16,RO13,RO14.",Rewrite forward references (4); preserve historical references (2) on predecessor.
RO16,Exact ROCm stack/provider qualification matrix is pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RO13,RO14,RO15.",Rewrite forward references (4); preserve historical references (0) on predecessor.
RO17,Generic Vulkan runtime/candidate lifecycle integration is pending.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: RO06.,Rewrite forward references (8); preserve historical references (0) on predecessor.
RO18,"Completeness, replay, and E2E lineage closure gates remain unchecked.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: RO08,RO17.",Rewrite forward references (6); preserve historical references (0) on predecessor.
